VH098810,,most common answer,4,683,most common wrong answer,5,480
VH098519,,most common answer,2,819,most common wrong answer,1,129
VH098808,,most common answer,3,598,most common wrong answer,1,300
VH098759,,most common answer,1,462,most common wrong answer,3,269
VH098740,,most common answer,4,452,most common wrong answer,2,370
VH134366,part: 1,most common answer,3.75,929,most common wrong answer,3.75 ,41
VH134366,part: 2,most common answer,5.00,562,most common wrong answer,5,343
VH134366,part: 3,most common answer,6.25,892,most common wrong answer,10,30
VH134366,part: 4,most common answer,7.50,681,most common wrong answer,7.5,190
VH134366,part: 5,most common answer,8.75,834,most common wrong answer,8.75 ,29
VH098753,,most common answer,2,368,most common wrong answer,1,282
VH134387,part: 1,most common answer,60,238,most common wrong answer,50,140
VH098783,,most common answer,2,906,most common wrong answer,3,132
VH098812,,most common answer,2,451,most common wrong answer,4,205
VH139196,part: A,most common answer,0.8,178,most common wrong answer,8,155
VH139196,part: B,most common answer,1.4,303,most common wrong answer,1.2,122
VH139196,part: C,most common answer,1,277,most common wrong answer,1.1,264
VH134373,part: 1,most common answer,35,241,most common wrong answer,32,47
VH098839,,most common answer,4,383,most common wrong answer,3,290
VH098597,,most common answer,5,722,most common wrong answer,3,114
VH098556,,most common answer,4,438,most common wrong answer,5,254
VH098522,,most common answer,4,683,most common wrong answer,3,105
VH098779,,most common answer,4,631,most common wrong answer,1,169
VH098834,,most common answer,1,394,most common wrong answer,4,305
